"Site","Country","Type","RestrictedUse","Lat","Lon","SurfaceArea","Chla_status","Temp_mean","Temp_range","Photoperiod_range","Chla_mean"
"Blelham Tarn (UK)","England","Lake","no",54.395,-2.979,0.1,"chla",11.0720596509972,14.2133741690408,9.84241270393064,16.1645594444444
"Esthwaite Water (UK)","England","Lake","no",54.36,-2.985,1.01,"chla",10.9361754787458,14.6058172348485,9.82759934476191,20.4554460400348
"Windermere North (UK)","England","Lake","no",54.37,-2.935,14.77,"chla",10.8476243160774,12.9946515151515,9.831828041999,5.635796875
"Lake Apopka (FL)","FL, United States","Lake","no",28.626,-81.63,NA,"chla",22.8281269761601,14.0001176470588,3.6183375596765,64.8349315715971
"Lake Beauclair (FL)","FL, United States","Lake","no",28.773,-81.66,4.6,"chla",24.5569146922658,14.3954583333333,3.64087287280828,114.64682410104
"Lake Dora (FL)","FL, United States","Lake","no",28.788,-81.7,NA,"chla",24.0255128676471,14.9726666666667,3.64317641705721,97.3578680685937
"Lake Eustis (FL)","FL, United States","Lake","no",28.847,-81.73,NA,"chla",23.419529532967,14.5757142857143,3.65224428675712,35.2378218647273
"Lake Griffin (FL)","FL, United States","Lake","no",28.883,-81.85,NA,"chla",23.5923826826052,14.7040073529412,3.65778292669486,66.2008825719267
"Lake Harris (FL)","FL, United States","Lake","no",28.778,-81.81,NA,"chla",23.6044258578431,14.71125,3.64164063784791,37.0707976287606
"Lake Yale (FL)","FL, United States","Lake","no",28.912,-81.735,16.4,"chla",24.0884451926478,15.3501272727273,3.66224776046008,32.8447372161053
"Lake Greifensee","Switzerland","Lake","no",47.35,8.68,8.45,"cell density",12.486733500057,18.6628064516129,7.41910331533055,NA
"Lake Geneva","Switzerland/France","Lake","no",46.43,6.55,580,"chla",12.8099766352321,15.4878431801263,7.16468491515531,3.95322970873898
"Lake Kasumigaura","Japan","Lake","yes",36.03,140.4,167.7,"chla",15.8488085499221,22.8148633158811,4.85851911277281,64.4370588235294
"Lake Mendota (WI)","WI, United States","Lake","no",43.1113,-89.4255,39.4,"chla",11.4619304515917,23.2996155938904,6.32831038283419,9.62397959183674
"Loch Leven","Scotland","Lake","no",56.194,-3.375,16.1,"chla",9.62456003095075,14.125313283208,10.6569181906311,38.5585549065447
"Lake Zurich","Switzerland","Lake","no",47.235,8.698,88.7,"chla",12.9868028082321,20.0977369274375,7.38669636867646,6.73255707762557
"Lake Muggelsee","Germany","Lake","yes",52.437,13.646,NA,"chla",11.2041923458428,18.8444272727273,9.06491249104989,22.6232395833333
"Narragansett Bay","RI, United States","Marine","no",41.567,-71.384,NA,"chla",11.5512267806268,20.4849794871795,5.97591865476583,41.4141173054588
"North Sea","","Marine","yes",56.3,3.4,NA,"cell density",NA,NA,10.7084769195238,NA
"Lake Taupo","New Zealand","Lake","yes",-38.79,175.9,616,"chla",14.7821359623016,8.43278571428571,5.38975947535442,1.05452127659574
"Oneida Lake","NY, United States","Lake","no",43.206,-75.917,207,"chla",10.9749218597375,22.0030378205128,6.35061276786072,6.05769636524823
"Port Erin Bay","Isle of Man","Marine","no",54.088,-4.768,NA,"cell density",NA,NA,9.71369591496951,NA
"Big Muskellunge (WI)","WI, United States","Lake","no",46.0162,-89.6135,3.6,"chla",8.60778013863111,12.9731189851027,7.05372411641158,2.74205223880597
"Crystal Bog (WI)","WI, United States","Lake","no",46.0076,-89.6063,0.006,"chla",8.76603325492224,14.4304292929293,7.05143994764096,28.0913221780373
"Crystal Lake (WI)","WI, United States","Lake","no",46.0018,-89.6136,0.375,"chla",8.17696928402092,11.3018030010478,7.04989995938855,1.94593650793651
"Sparkling Lake (WI)","WI, United States","Lake","no",46.0091,-89.6995,0.637,"chla",7.72515358985306,9.91751162401898,7.05183828569764,2.74670238095238
"Trout Lake (WI)","WI, United States","Lake","no",46.0461,-89.6751,16.1,"chla",6.81993478462716,NA,7.06167245530628,2.67769900497512
