"Site","Year","Month","Temp"
"Blelham Tarn (UK)",1983,12,4.7
"Blelham Tarn (UK)",1984,1,4.4
"Blelham Tarn (UK)",1984,2,3.5
"Blelham Tarn (UK)",1984,3,5
"Blelham Tarn (UK)",1984,4,8.65
"Blelham Tarn (UK)",1984,5,13.05
"Blelham Tarn (UK)",1984,6,17.75
"Blelham Tarn (UK)",1984,7,18.8666666666667
"Blelham Tarn (UK)",1984,8,19.95
"Blelham Tarn (UK)",1984,9,13.9
"Blelham Tarn (UK)",1984,10,10.6
"Blelham Tarn (UK)",1984,11,8.38
"Blelham Tarn (UK)",1984,12,6.6
"Blelham Tarn (UK)",1985,1,4.1
"Blelham Tarn (UK)",1985,2,3
"Blelham Tarn (UK)",1985,3,4.225
"Blelham Tarn (UK)",1985,4,7.542
"Blelham Tarn (UK)",1985,5,12.2225
"Blelham Tarn (UK)",1985,6,16.425
"Blelham Tarn (UK)",1985,7,16.638
"Blelham Tarn (UK)",1985,8,14.65
"Blelham Tarn (UK)",1985,9,13.605
"Blelham Tarn (UK)",1985,10,12.35
"Blelham Tarn (UK)",1985,11,5.865
"Blelham Tarn (UK)",1985,12,6.345
"Blelham Tarn (UK)",1986,1,4.165
"Blelham Tarn (UK)",1986,2,2.02
"Blelham Tarn (UK)",1986,3,4.34666666666667
"Blelham Tarn (UK)",1986,4,6.516
"Blelham Tarn (UK)",1986,5,10.755
"Blelham Tarn (UK)",1986,6,16.395
"Blelham Tarn (UK)",1986,7,18.738
"Blelham Tarn (UK)",1986,8,14.875
"Blelham Tarn (UK)",1986,9,13.18
"Blelham Tarn (UK)",1986,10,11.65
"Blelham Tarn (UK)",1986,11,7.8
"Blelham Tarn (UK)",1986,12,5.875
"Blelham Tarn (UK)",1987,1,4.5
"Blelham Tarn (UK)",1987,2,3.4
"Blelham Tarn (UK)",1987,3,4.6
"Blelham Tarn (UK)",1987,4,9.525
"Blelham Tarn (UK)",1987,5,13.225
"Blelham Tarn (UK)",1987,6,15.16
"Blelham Tarn (UK)",1987,7,18
"Blelham Tarn (UK)",1987,8,17.1
"Blelham Tarn (UK)",1987,9,14.5
"Blelham Tarn (UK)",1987,10,10.3
"Blelham Tarn (UK)",1987,11,7.3
"Blelham Tarn (UK)",1987,12,4.8
"Blelham Tarn (UK)",1988,1,5.85
"Blelham Tarn (UK)",1988,2,3.9
"Blelham Tarn (UK)",1988,3,5.675
"Blelham Tarn (UK)",1988,4,9.375
"Blelham Tarn (UK)",1988,5,14.32
"Blelham Tarn (UK)",1988,6,19.65
"Blelham Tarn (UK)",1988,7,16.75
"Blelham Tarn (UK)",1988,8,16.36
"Blelham Tarn (UK)",1988,9,14.025
"Blelham Tarn (UK)",1988,10,11.0333333333333
"Blelham Tarn (UK)",1988,11,6.9
"Blelham Tarn (UK)",1988,12,5.6
"Blelham Tarn (UK)",1989,1,5.96666666666667
"Blelham Tarn (UK)",1989,2,6.2
"Blelham Tarn (UK)",1989,3,5.96
"Blelham Tarn (UK)",1989,4,7.85
"Blelham Tarn (UK)",1989,5,14.92
"Blelham Tarn (UK)",1989,6,18.7
"Blelham Tarn (UK)",1989,7,21.5
"Blelham Tarn (UK)",1989,8,17.96
"Blelham Tarn (UK)",1989,9,14.55
"Blelham Tarn (UK)",1989,10,12.24
"Blelham Tarn (UK)",1989,11,8.45
"Blelham Tarn (UK)",1989,12,3.75
"Blelham Tarn (UK)",1990,1,5.1
